Year,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
2010,626.1635254054545,2.2158291488181816,0.3080251309545454,253.65202751422729,254.44234199727273,23.334994115431815,18.666866199227275,71.33686363636365,80.88638636363636,64.06894393952273,67.81310679452274,0.13594544693181818,447.638909090909,386.0251945663636,158.35681857711361,2.4506139068863635,75.33777272727274,160.8322727272727
2011,644.9658771377274,2.24939192725,0.3006360737727272,261.3081782796818,258.7406466195455,23.514123040250002,18.869267430136365,71.10327272727272,80.74865909090909,65.18721199577271,68.91898257913638,0.13087294063636362,463.06315909090904,398.3831308029546,167.36887351747725,3.0137773751590915,77.56043181818183,171.1591590909091
2012,654.0174493865908,2.259357852227273,0.29462754329545454,263.52171255875004,261.97335381590915,23.51118222697727,19.11703017697727,72.15309090909089,81.92863636363636,66.07318580425,70.27136036154545,0.1280598008409091,473.7263181818182,408.3299419170455,170.6049577882727,3.608710001068182,78.59327272727273,173.59209090909087
2013,666.2234083672727,2.229023450340909,0.2888529479545454,267.13693288293183,265.9261765325,24.56684584840909,19.114551979113635,73.23718181818181,82.24093181818182,66.73572517429545,70.7810663731591,0.1266864526363636,487.92213636363635,421.14481909090915,173.57896976965907,4.246694395863638,79.46745454545454,174.82702272727275
2014,665.2581280229547,2.226433974545454,0.27637733927272723,271.88388282540905,268.0536766154545,25.165711363272727,19.49818397352273,73.83147727272727,83.7574090909091,67.52252652059092,70.67433511647727,0.12195017325,496.76756818181804,429.3098632272728,171.86885934647728,4.842225435659089,81.74806818181818,174.0021590909091
2015,662.0884171268182,2.2347908835454544,0.2699297214318182,272.87384729949997,268.01293140090905,25.289250849795454,19.789441419750002,75.21438636363636,85.97897727272728,68.1956039379318,71.55770551725,0.11917519413636367,505.1463636363635,436.02718788045456,167.21114771845453,5.5202683123863645,83.79963636363637,168.7798181818182
2016,659.4545372209093,2.1996754337272724,0.26520681595454554,270.5691423034091,269.38115493886363,26.292231789386367,19.907155145318182,75.6295,86.66477272727273,69.31501655515909,73.25084982211365,0.11899500204545453,518.7998636363637,449.35990061545454,164.16760246838638,5.780170918522727,84.36456818181817,159.3135
2017,667.8340437968183,2.1950944460454545,0.26241955806818185,276.5284645573409,274.1079271784091,26.42138218088636,19.919685911863635,76.69818913636364,88.30524972727272,72.5691390325,75.38590418049999,0.11803301161363637,532.3617362727273,461.8085409990909,166.44234784988637,6.518977788954544,83.85868213636364,164.6551075909091
2018,678.0150701302273,2.1854253328863638,0.25844893663636365,286.2333158277955,280.3998188168182,27.491067429068185,20.246648713272727,77.21076588636363,89.03428311363636,76.77388060043182,79.62933101697728,0.116837598,552.5052170227273,480.54199132863636,167.6573640313409,7.061521381977272,86.00770670454546,170.3781101363636
2019,676.7821077295455,2.1579139074318188,0.2550911495681818,291.15570765581816,282.3830627461364,28.34894516440909,20.240383413136367,77.70033982118183,88.98263520390908,79.76654363077273,81.15023422379545,0.11635465486363633,557.974155583409,485.3208746670455,164.21395115545454,8.194988914681819,85.48476138318182,172.75060086022725
2020,645.0656063970455,2.126358637181818,0.25348885970454543,281.24959624027275,271.99901376,30.00110794581818,20.936473794295456,71.89792890136363,80.99196396011364,77.75037969563637,79.91169677463637,0.11678706781818181,554.9274504240909,480.1734929995455,157.3151188963636,9.550794463636363,80.8322937695909,165.27853819781816
