Year,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
2000,-0.05997364236136659,0.0422426917542802,0.1444900052409413,-0.07131573285591648,-0.06064641539838978,-0.05780664421213326,-0.12138214364812604,-0.014071916053423762,-0.02379450861235729,-0.04783895022660357,-0.062293642934622896,0.17349989616669023,-0.08071300052602956,-0.08225649226338523,-0.06976778036400723,-0.37186411494210214,-0.03448766113337649,-0.07687396942268193
2001,-0.05460882933317249,0.06346912402650115,0.1264800308716447,-0.06323055490546442,-0.057750786212089796,-0.06267810054147732,-0.08973312329995442,-0.008070901048300664,-0.01747051145324454,-0.04265585317340969,-0.059753535323106226,0.1421907198983438,-0.07892963013540916,-0.07685623854501383,-0.06605894620866225,-0.36279246816784066,-0.033397095118424126,-0.06483507638421655
2002,-0.04922732986137548,0.03819470590620095,0.10651792793714936,-0.06010057017005694,-0.04765018100561764,-0.07583129084883647,-0.06340918562357654,-0.01119638909952981,-0.01656020843378556,-0.0344058344989616,-0.0458435323752422,0.1276930541885692,-0.06343393777454089,-0.0642277863478525,-0.058253327184536526,-0.35210409522524944,-0.0398344745119114,-0.06234065725913728
2003,-0.030882319555441153,0.037595937590929995,0.08184904799622796,-0.0359812705694506,-0.030792099811788074,-0.08020124906656699,-0.053939747029288936,-0.0006852680865711634,-0.0029450066038810645,-0.022602701222256702,-0.03201860633579389,0.0986082203877578,-0.048887938350293994,-0.04873885608910519,-0.037000599782753676,-0.33708113611145885,-0.006788424318061042,-0.043367156542156234
2004,-0.010553875786007598,0.024348590219149965,0.040496422294276975,-0.013084805292815587,-0.01008496715852202,-0.07716653155058517,-0.02795264040956691,0.020391005218359043,0.017768566276295368,-0.013948481928880313,-0.0185177380475671,0.048888034935474785,-0.029394450499511973,-0.030437970411812273,-0.020278719188937352,-0.3113034183381888,0.011576403383210603,-0.02191656480357307
2005,0.005559681593443671,0.027711061822918593,-0.0020855487135863038,0.003343117425433484,0.0042432779020127286,-0.0704410655734021,0.006790506718864242,0.023125519391616032,0.02151075427801112,-0.00550881913472298,-0.008075786990851729,-0.005125662754228773,-0.009640853757996153,-0.011674357248493063,-0.0009034766770731982,-0.27665632566552706,0.017109410959420316,-0.0023568885606834998
2006,0.01967520716742124,0.018315549601556062,-0.04340300519885002,0.017851794156836024,0.01782565619012831,-0.0651289126433604,0.05749145647586813,0.026508231761293525,0.027269759060364603,0.005175201710704455,0.0019184249828058941,-0.05940120089992469,0.007689571716550251,0.0060311742879787305,0.01731549426202777,-0.2534816303008647,0.01810706986961461,0.016562861924492352
2007,0.03621065538268344,0.019591824848978423,-0.09036086818668844,0.027321936389499778,0.03272976540407836,-0.0842024073936704,0.08257139292930661,0.031674684945335145,0.0301264658834413,0.012858312413264133,0.022850698194549768,-0.11434890360951337,0.0293338123195901,0.030020150448914252,0.03504859354973663,-0.2060802942558462,0.01244429633727026,0.03130267651864794
2008,0.03897175218940107,-0.004579114909399524,-0.10402869248556432,0.03797044947179348,0.03840512640222033,-0.07983810357758253,0.08860920425520544,0.022261904686081704,0.03238609767835872,0.028785131220590312,0.03524502530334422,-0.12516975333623082,0.03824867621395233,0.0381187548495384,0.0423115089109115,-0.1469420346765976,0.013737016052555352,0.042248740152145636
2009,0.0337130556707841,-0.05029247384898647,-0.1354358492795667,0.031069703832040795,0.03326177219182997,-0.05285283885608458,0.11439880586526939,0.006239770365540056,0.0180573101388951,0.015492916856482786,0.021708298665164286,-0.14609441733219775,0.03592240238528572,0.03521424584812816,0.045039536981587934,-0.0683337430741081,-0.005036678907283828,0.049201117414481944
2010,0.06250003625986177,-0.04053063471078621,-0.12681888787517684,0.059437001128123425,0.06397667186207213,-0.029119200390159746,0.1431781345732963,0.019393286649831976,0.029702299460721792,0.04261282673374513,0.06820364204367352,-0.136805868288846,0.07076770705827545,0.0696689443136958,0.06464329601368524,-0.006726417864475642,0.010105849209738229,0.06972642153840597
2011,0.07800568734631609,0.019361362881374022,-0.156805574591075,0.07853695668619919,0.07363405640888508,-0.022089437800250786,0.17092825645172827,0.01757252112296394,0.028679031737122936,0.051144800428611664,0.07762713507828989,-0.19287414379624562,0.08925030789040499,0.08653860420105876,0.08602123630846968,0.10671837688922609,0.028686700179128496,0.09480156689605082
2012,0.08547020684223702,0.037145324240681905,-0.18118973032453609,0.08405910582506469,0.0808972681321216,-0.02220484752064915,0.20489764681012196,0.025755514041536517,0.037445869516253,0.05790445450799008,0.08915114418493159,-0.2239688113836895,0.10202777928037632,0.10011686818025894,0.09369771151725975,0.22656281538865797,0.0373209811110992,0.10070907055571789
2013,0.09553604029886645,-0.016985710483647016,-0.20462451735325368,0.09307806974569294,0.08977842765294487,0.019223775137593612,0.20455787470277909,0.03420565177568771,0.03976612063671035,0.06295938605633213,0.0934944991231368,-0.23914893359843126,0.1190383724009516,0.11761029226682372,0.10075251211432378,0.35507968979746624,0.044628913375755815,0.10370766023292495
2014,0.09474000688598655,-0.021606569821064063,-0.255253732952282,0.10492038264094367,0.09455847193319519,0.04272574388467364,0.2571555518685853,0.03883799248030659,0.0510330412401975,0.06896239074931222,0.09258501067252536,-0.2915007695641385,0.12963769395521008,0.12875628905048725,0.09669587478064216,0.4750446740075859,0.06369424924725915,0.10170477428514438
2015,0.09212605561540887,-0.006693860054717404,-0.28141981767753277,0.10739006721723571,0.09446692602384549,0.047573946159183554,0.29708826173653013,0.049617321219250686,0.06753855224911874,0.0740977237200302,0.10011246984514521,-0.3221736331168295,0.1396778535636465,0.13792602257902312,0.08564708715638741,0.6116310105120769,0.08084482478798011,0.08902418956759178
2016,0.08995398568468035,-0.06935656362768367,-0.3005865778542253,0.10164047263004003,0.09754103593768432,0.08693508169150736,0.3132273445702137,0.052852997649319194,0.0726337838596129,0.08263842999390204,0.11454025078173323,-0.32416536249258177,0.1560385965794483,0.1561263373329864,0.0784273432610171,0.6639863202403941,0.0855675076161459,0.06603862586015662
2017,0.09686427579587337,-0.07753122961269841,-0.31189798430002524,0.11650731547225933,0.10816109691380803,0.09200347916868935,0.3149453691953838,0.06118308355035924,0.08482198110018625,0.10746618682856544,0.13273367734438338,-0.3347985961299648,0.17228954417651715,0.17311981628542103,0.08382337904567931,0.8128130792555459,0.08133843206581469,0.07900880700373804
2018,0.10526021712681256,-0.0947855371849701,-0.32801178312625995,0.14071820598917445,0.12229765130414444,0.13398236866561755,0.3597734443412857,0.06517845340403296,0.09023845613029226,0.13954681745268316,0.16889316631485454,-0.348011941945764,0.1964271141764805,0.1986926084997478,0.0867055788942395,0.9221041643896274,0.09930371760792296,0.09290506921252563
2019,0.10424343555289507,-0.14387903611646688,-0.34163854313023195,0.1529981973366394,0.1267535824115658,0.16764905212690973,0.3589144434270712,0.06899452375899351,0.08985472937836626,0.16237973493589533,0.18185323016215563,-0.35335008984482297,0.20298044470422238,0.20521620070939547,0.07853728926905211,1.1504321701142113,0.09493203095514735,0.09866581331929018
2020,0.07808793062737567,-0.20018868204379262,-0.34814104581584526,0.12828521902853382,0.1034228129513415,0.23248677794354264,0.4543515750532369,0.023766608783004205,0.030486705807199446,0.14699714615230183,0.17129928803985844,-0.34857047060804675,0.19932963281302082,0.19818957616798857,0.062172228790112465,1.4235483981586627,0.05603861373177559,0.08052258497496632
