Year,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
2000,-0.1725990303915465,0.262253154028945,0.40578235488772285,-0.2961165278575848,-0.29492425399995115,-0.29330335717022477,-0.389422470877433,-0.16652670143283801,0.007288619359155146,-0.08343818608559805,-0.30368091898507577,0.41227079780116643,-0.4764715180700367,-0.4579891353324357,-0.1747718723185001,-0.5630823879180694,0.049958367471770564,-0.1630106300080941
2001,-0.08474282716013472,0.2948313040070043,0.47401392752655463,-0.20544186282921711,-0.20100527338050103,-0.3278520712657334,-0.26926880502399353,-0.06020966231006478,0.17454616395176029,-0.09467634869107985,-0.19939864138661204,0.40482150811456474,-0.3938361491728115,-0.34965021485455494,-0.2218581616306863,-0.5409843940031576,-0.04092854164952728,-0.09640763855633976
2002,-0.02666807981083559,0.19417989314908357,0.4518612392634614,-0.21292264085327758,-0.10428408289710968,-0.41051208233400555,-0.1524381571286887,-0.07547196797096262,0.11652061114368428,0.010858289592671478,-0.12728443092760824,0.4154065457002585,-0.2881863572156451,-0.26324208769945484,-0.14943523246580306,-0.5379019959464633,0.036771558773888026,-0.15701030501053384
2003,0.11530591778061074,0.16773655437077475,0.3847503200628852,-0.03916859991529573,0.08106484882200236,-0.4281476735911866,-0.17318542938286177,0.05459345855748466,0.27066620589347967,-0.04282770921617934,-0.0281360115144493,0.36772673863419797,-0.20919875281997277,-0.15087831132629106,-0.027801149143944996,-0.5159093713021607,0.1686209202804953,-0.14116154656867674
2004,0.2336335657229528,0.1862760119462038,0.27649902126251463,0.12521844247413735,0.2655229777970321,-0.3964209501645245,-0.0900498787940811,0.21963238221711226,0.4023263444962533,0.11901147995679623,0.10937458365975075,0.2423282065530226,0.011742773287090056,0.03405492063588263,0.0595830270722143,-0.4527618983537956,0.22653210864339227,-0.08337820319396898
2005,0.28026045288864243,0.17572692846109003,0.1423164577330417,0.17085719837286248,0.3189222917910485,-0.26489799589927415,0.06941554926355518,0.2630929296002146,0.4670069327516526,0.22552828728030327,0.1856404967152684,0.12058109753813441,0.19499512173534986,0.17625943227003205,0.10868657493867068,-0.4296851041882237,0.19690287258222294,-0.02139469182133593
2006,0.3340472604267036,0.09390209255602837,-0.07902624036435311,0.24810678530974278,0.41401652556018304,-0.3684449836874325,0.2171193734954646,0.27536721837262573,0.46727583468225586,0.24343699197025534,0.23322208436871214,-0.09876437362373322,0.27747162655406316,0.30750138914089287,0.19195532155158676,-0.38999301911103373,0.13741682975225047,0.06762438166431348
2007,0.3969909918479542,0.09746267404018936,-0.1853520963348891,0.27639708954466824,0.46140666001500996,-0.46460240425609084,0.31742839366234993,0.37101961581977533,0.35413673451705263,0.26308510329232654,0.2660371124801265,-0.24483316670412264,0.4403880739250164,0.47022749381617396,0.26486354385382305,-0.35092113996419394,0.16999992844546613,0.12367266009003094
2008,0.41454852274483417,0.022474396759440914,-0.2102048467078502,0.38368874018207605,0.559512735872961,-0.4662559082809915,0.31677791161785024,0.3494958976460611,0.39269895003158056,0.2800995511877626,0.35698189169584205,-0.2368726889975042,0.47859366594442637,0.4897826692798466,0.26950787359292405,-0.27974424333856834,0.13263029550713276,0.19111676324998442
2009,0.09618547799523679,-0.21811441690802366,-0.2818593784745793,0.21969781471089964,0.21750744076718087,-0.3745713245470567,0.3955448626202303,0.1189351172193795,0.02438583352131519,0.2377881424498769,0.29866851462818356,-0.233575861087417,0.3012225980223033,0.2514234337868803,-0.09236808524008966,-0.18598701341774523,-0.025283916859191746,-0.010007733467788412
2010,0.44322256344009964,-0.16894578469586286,-0.2559335655687441,0.5121198044650273,0.6389034887298549,-0.32189124043627093,0.47458498669057625,0.23886050176857615,0.08924138995409175,0.42841911112256914,0.7829071116463395,-0.2464720551847347,0.6261070436440925,0.6308300754843743,0.06464812948481433,-0.14019462186272946,0.027391378334802194,0.1125810116967268
2011,0.4463762853407473,0.10863172077708279,-0.3543372789245666,0.4655867354356101,0.5015482265309025,-0.26551402919611866,0.5757168658334134,0.2079074877275894,0.030633250390842928,0.34370092319459217,0.6525656501802536,-0.5153302553678373,0.6860696927386578,0.6160558755833948,0.2023674626948538,1.5571652958802767e-05,0.007044021528238396,0.20588747587393727
2012,0.4437617966961513,0.10752586587689236,-0.34892608787250495,0.5286161350178031,0.47975298815429457,-0.2096957935440586,0.6621873782655412,0.2634749492389951,0.12517735471428384,0.344379757013153,0.6398298830318525,-0.5248612385795931,0.7697958466344784,0.7131905741384543,0.26055246366837886,0.19126021555671058,-0.03840701025352584,0.13033161254937334
2013,0.46357055778385986,-0.0942163564191749,-0.45159243091989,0.5923032413752659,0.5757267937647446,-0.0516527424094533,0.630158778569992,0.3197889014509517,0.0031751582814615762,0.3130318815294568,0.6541705463461703,-0.538075082182552,0.7945300677937541,0.742056413489035,0.27630748043934267,0.39979478084331654,-0.030586043209075594,0.1926840942207729
2014,0.31366511224370536,-0.12710961008286895,-0.5871317366244088,0.5376231282176336,0.37491404830637387,0.004220153056581647,0.7790996584927229,0.3131080501951773,0.06216707087525942,0.21857427361776915,0.45687508452765274,-0.7031659794338242,0.7803587418004017,0.6983545832941475,0.2719680697768397,0.5875530338693365,-0.004698130762814564,0.19404803151693492
2015,0.3435671885498838,-0.009696781923647946,-0.6743073106328613,0.39165249565112764,0.3476484012638236,0.04854572357518883,0.9085276185131096,0.36996981403658324,0.29014891746620997,0.17905249243200516,0.551075961537158,-0.7794637553653451,0.9114039078907351,0.8227266314647362,0.23249876941917577,0.7934021730045395,-0.006754395613560719,-0.01689020240405101
2016,0.3543059693455826,-0.27332694210673786,-0.8008483381959368,0.47282257111278037,0.49559058578551357,0.3706944821024256,0.9745319164389069,0.40649078860324955,0.17610994830693438,0.19641502284273835,0.6707310640568682,-0.7931921160129174,1.0257552910177277,0.9372197010600195,0.11632370628405084,0.9499824586727865,-0.05949400389835933,-0.01442081585293719
2017,0.4191318303086872,-0.31434047289759365,-0.8623469185642587,0.43796440838374107,0.6374273112287205,0.5223961542853185,0.9761083040141982,0.4727937539849582,0.37825394967601356,0.28133187395334713,0.8298765939018291,-0.8477048433916575,1.1330493658284504,1.0473216555608598,0.14713134297784367,1.240733888342116,-0.11927616703211662,-0.04227742673552157
2018,0.39780288186838053,-0.43494122988283573,-0.9669365083630396,0.5196794663737523,0.650874981499448,0.7213002893817801,1.0918066666414032,0.4590118494048417,0.3453682148674067,0.3181274141742744,0.9129347202226044,-1.0014454065576124,1.157956424106222,1.1815656394063654,0.14367223105501384,1.519458989628896,-0.06018973729214105,-0.0014184950684529448
2019,0.278187838993871,-0.6918307716646267,-1.0273802890050459,0.5954555401748721,0.6075622053806252,1.0440861304341704,1.1039980307198356,0.3563482679559721,0.2886604945572983,0.32813213023375354,0.9843668854006311,-1.01178400056065,1.1410830753778858,1.1511294957415037,-0.07826947587848952,2.1879679086335626,-0.1005736548958747,-0.056921031562378266
2020,-0.26061666266042427,-0.9682793604719641,-1.1332926035346238,0.2035325430782617,0.07997005609181528,1.4660749551214982,1.5070091344680712,-0.2567405771913511,-0.5655037967618708,0.06833715195119841,0.8334130693394795,-1.0004210805828244,0.9937954578456071,0.9324739453847872,-0.3932921484829628,2.881128039342917,-0.306849154371482,-0.3486116759467065
